state,office_type,weighted_polls,weighted_var,weighted_sd,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5325689363537417,4.3561217442124236e-4,0.020871324213409228,11.887112520338897,20,9
Arkansas,Senate,0.41216216216216217,3.9210958770670613e-4,0.019801757187348452,26,1,0
Colorado,Senate,0.5377028990320663,3.072757373975647e-4,0.01752928228415427,10.843889654738417,11,5
Connecticut,Senate,0.5451106143899753,2.125043560153975e-4,0.014577529146443079,7.185298081178864,3,2
Florida,Senate,0.47942388526273255,3.5183260251447966e-4,0.018757201350800702,9.518617088228744,24,4
Georgia,Senate,0.5155805885799828,3.520046469729451e-4,0.018761786881130088,8.202866984758224,33,13
Illinois,Senate,0.6067319830088265,3.2839571912543925e-4,0.018121691949854992,18.818410021926,4,3
Indiana,Senate,0.4827586206896552,1.3596145795666747e-4,0.011660251196122125,13,1,0
Iowa,Senate,0.45796336934205806,3.714734671790436e-4,0.01927364696104615,9.59872339617796,14,4
Kansas,Senate,0.4116074260240027,4.475372403812362e-4,0.021155075995638404,17.721837264714488,2,0
Kentucky,Senate,0.4148936170212766,4.132032401298363e-4,0.02032740121436669,6,1,0
Maryland,Senate,0.43023255813953487,5.700755908284805e-4,0.023876255795842037,14,1,0
Missouri,Senate,0.4346726151992122,3.1538346286432627e-4,0.01775903890598605,14.083421731439035,4,1
Nevada,Senate,0.4959761910217164,4.277355315786194e-4,0.020681768096045834,11.080270006519855,16,5
New Hampshire,Senate,0.5402957699897505,3.39710964789364e-4,0.018431249680620248,7.999898945440201,12,6
New York,Senate,0.5947960278653411,2.716150439307016e-4,0.01648074767511176,7.391357226012553,8,4
North Carolina,Senate,0.4899151059450507,3.796823704901775e-4,0.0194854399614219,9.893586131499625,18,7
Ohio,Senate,0.49713711402322075,3.820302311563768e-4,0.019545593650651207,10.342608937908226,19,6
Oregon,Senate,0.6178960096735188,3.586562359911127e-4,0.01893822156357647,17.299999999999997,1,1
Pennsylvania,Senate,0.5286555408958922,3.7781173241743896e-4,0.019437379772424032,10.394583678893587,22,7
South Carolina,Senate,0.40657953563679267,4.419062137101989e-4,0.021021565443853103,9.001227332943715,2,0
South Dakota,Senate,0.41770214292636204,7.69693288324929e-4,0.027743346739802843,20.999397158567763,2,0
Utah,Senate,0.4673583009255888,5.43692392875959e-4,0.02331721237360845,13.587546654021969,8,2
Vermont,Senate,0.6559350054146375,2.981385094234015e-4,0.017266687853303004,9.37920785874961,4,1
Washington,Senate,0.5422653374889919,3.955068139441738e-4,0.019887353115590162,8.802610939471272,16,4
Wisconsin,Senate,0.4945392297504769,3.0124692954209637e-4,0.017356466505083816,4.562549130220225,14,6
Arizona,Governor,0.4960442901966435,3.984718864787025e-4,0.019961760605685625,7.497902029932418,15,8
Arkansas,Governor,0.3840794997480911,3.453446428701387e-4,0.018583450779393444,7.415402294149891,4,0
California,Governor,0.6250325076147158,1.8793474221116116e-4,0.013708929287554196,10.480924197837561,3,2
Colorado,Governor,0.582774178296555,2.4872379546553915e-4,0.01577097953411706,8.614560991904057,8,4
Connecticut,Governor,0.5764337455892965,1.8854286511783995e-4,0.013731091184528633,6.808855008494267,5,1
Florida,Governor,0.46413100961492343,3.672258465778455e-4,0.019163137701792093,7.4078426332776806,12,4
Georgia,Governor,0.4698110427613559,3.4117796850914546e-4,0.01847100345160342,4.872535268403642,31,12
Illinois,Governor,0.6084380936079049,3.2303288709738476e-4,0.017973115675847213,18.593365839761596,6,3
Iowa,Governor,0.39982058256728537,3.901669995037962e-4,0.019752645379892693,9.840921136215945,7,3
Kansas,Governor,0.5287519663772351,0.00042495693734416413,0.020614483678815826,9.995056586118855,5,0
Maine,Governor,0.5666194391359158,3.119605408188881e-4,0.017662404729223258,8.277624298262976,7,2
Maryland,Governor,0.6818181818181818,3.043520605504077e-4,0.017445688881509026,12,1,1
Massachusetts,Governor,0.6314554255678134,5.1711370681632e-4,0.02274013427436874,13.026894883428366,3,1
Michigan,Governor,0.5409537761239418,4.132286173053815e-4,0.02032802541579928,8.804495140844876,17,8
Minnesota,Governor,0.5379884514023621,3.2733274926126897e-4,0.01809233951873745,10.267098090138095,9,3
Nebraska,Governor,0.4606741573033708,2.0832926219704846e-4,0.014433615700753863,11,1,1
Nevada,Governor,0.4928911540846511,4.16874735246927e-4,0.020417510505615688,12.568351202478228,12,4
New Hampshire,Governor,0.41182749260507195,3.6048332988678584e-4,0.018986398549666703,11.349240414358318,10,5
New Mexico,Governor,0.5510531414341222,4.7004544739353925e-4,0.021680531529313096,10.95668882732412,10,3
New York,Governor,0.5449650503256133,2.9392105323662626e-4,0.01714412591054517,7.378022250849907,16,7
Ohio,Governor,0.3930192432840595,3.595173922946543e-4,0.0189609438661332,9.929028634412022,17,6
Oklahoma,Governor,0.4839250691299348,6.498428008998098e-4,0.02549201445354623,11.240408238527996,12,4
