state,office_type,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5348733759630385,0.018170241122611248,3.3777224919090827e-4,9.44171024030361,12,8
Arkansas,Senate,0.41216216216216217,0.019801757187348452,3.9210958770670613e-4,26,1,1
Colorado,Senate,0.5428883275169832,0.017432166757437348,3.074005724216803e-4,12.915848003816656,8,4
Connecticut,Senate,0.5827831349565937,0.013522580442716562,1.9005557410739407e-4,7.568242092457558,2,2
Florida,Senate,0.482990143931696,0.019984304590788336,4.177542719589645e-4,8.700707258345146,21,6
Georgia,Senate,0.5109326780827184,0.017005369427542397,2.958525635855213e-4,7.111174060742304,22,9
Illinois,Senate,0.6153811595338949,0.017098828755319043,2.923964468888137e-4,19.6173849245997,2,1
Indiana,Senate,0.4827586206896552,0.011660251196122125,1.3596145795666747e-4,13,1,0
Iowa,Senate,0.47572681049578575,0.01595879105833806,2.582445034637983e-4,8.114116696676632,10,1
Kansas,Senate,0.4116074260240026,0.020753946037175827,4.475372403812361e-4,17.721837264714484,2,2
Kentucky,Senate,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0
Maryland,Senate,0.43023255813953487,0.023876255795842037,5.700755908284805e-4,14,1,0
Missouri,Senate,0.4350833985867945,0.019938907775498907,4.014102730348275e-4,15.14819826799199,3,2
Nevada,Senate,0.48990448867553704,0.018876494770468672,3.673034235685196e-4,10.882338684914108,14,4
New Hampshire,Senate,0.5573399774068963,0.019403000258577406,3.796705057299628e-4,8.744368564172698,8,3
New York,Senate,0.6290087066566817,0.017381965399376094,3.0571313685117155e-4,13.683859398106527,4,1
North Carolina,Senate,0.4960087477477962,0.018955448423391245,3.6385966751597957e-4,10.24084707446944,14,7
Ohio,Senate,0.5049498221221919,0.01828746927042111,3.4015597117072075e-4,9.976515734098127,14,8
Pennsylvania,Senate,0.539843763889102,0.019169466956657978,3.853030102661088e-4,8.935867274659996,17,8
South Carolina,Senate,0.40657953563679267,0.021021555915855788,4.419062137101989e-4,9.001227332943715,2,1
South Dakota,Senate,0.417702142926362,0.027743324498106292,7.696932883249289e-4,20.99939715856776,2,1
Utah,Senate,0.4318858338171663,0.020024368467473234,4.0398337034118286e-4,13.194820973736428,6,2
Vermont,Senate,0.5351171180311524,0.015808775696699754,2.499331673027132e-4,7.10321525627695,3,1
Washington,Senate,0.537325845238658,0.01978624684470711,4.131467862039003e-4,8.515118533584543,13,4
Wisconsin,Senate,0.49146427313829333,0.017289637607454597,3.013539511921739e-4,4.634220073129294,10,7
Arizona,Governor,0.4972705300248419,0.017678361665836684,3.192917011434585e-4,7.307060193191997,9,7
Arkansas,Governor,0.3840794997480911,0.01798541132103802,3.453446428701387e-4,7.415402294149891,4,3
California,Governor,0.651685393258427,0.01551161086154731,2.4061007152007246e-4,11,1,1
Colorado,Governor,0.5623660624136818,0.015948516756326234,2.5500822628759005e-4,10.515984474586073,6,2
Connecticut,Governor,0.5764337455892965,0.01347840767813873,1.8854286511783998e-4,6.808855008494268,5,2
Florida,Governor,0.4647022286041271,0.020926108019629443,4.565193940151938e-4,6.909822051176514,9,7
Georgia,Governor,0.47344483160384854,0.017261874207147972,3.049317785399092e-4,5.086486475397213,21,11
Illinois,Governor,0.580603333331569,0.01645116493004702,2.7088264216467925e-4,14.288557992566304,4,2
Iowa,Governor,0.40937833254745387,0.02148507575696452,4.6255576087967314e-4,11.974004712050297,4,0
Kansas,Governor,0.5287519663772352,0.020158471744879693,4.249569373441642e-4,9.9950565861188565,5,2
