state,office_type,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5303747217103204,0.018995309909490415,3.6656775526777247e-4,9.774749471833095,11,8
Arkansas,Senate,0.41216216216216217,0.019801757187348452,3.9210958770670613e-4,26,1,1
Colorado,Senate,0.5494708051145494,0.018433538711635864,3.4310896515736674e-4,15.626833290438002,7,3
Connecticut,Senate,0.5827831349565937,0.01352258044271656,1.9005557410739407e-4,7.568242092457558,2,2
Florida,Senate,0.482990143931696,0.019984304590788336,4.177542719589645e-4,8.700707258345144,21,6
Georgia,Senate,0.5109326780827184,0.017005369427542393,2.958525635855213e-4,7.111174060742303,22,9
Illinois,Senate,0.560880829015544,0.01625116050438337,2.6410021773922994e-4,22.80000000000001,1,0
Indiana,Senate,0.4827586206896552,0.011660251196122125,1.3596145795666747e-4,13,1,1
Iowa,Senate,0.47572681049578575,0.01595879105833806,2.582445034637983e-4,8.114116696676632,10,1
Kansas,Senate,0.4116074260240026,0.020753946037175827,4.475372403812361e-4,17.721837264714484,2,2
Kentucky,Senate,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0
Maryland,Senate,0.43023255813953487,0.023876255795842037,5.700755908284805e-4,14,1,0
Missouri,Senate,0.4350833985867945,0.019938907775498907,4.014102730348275e-4,15.14819826799199,3,2
Nevada,Senate,0.48990448867553704,0.018876494770468672,3.673034235685196e-4,10.882338684914108,14,4
New Hampshire,Senate,0.5573399774068963,0.019403000258577406,3.796705057299629e-4,8.7443685641727,8,3
New York,Senate,0.6290087066566817,0.017381965399376094,3.057131368511716e-4,13.683859398106529,4,1
North Carolina,Senate,0.49543995874089763,0.018580536079008572,3.503040184911663e-4,8.284477787540641,13,6
Ohio,Senate,0.5024352429833544,0.01773444577443244,3.1969054542458855e-4,9.760318800092518,13,8
Pennsylvania,Senate,0.5422534030374153,0.018945806794156195,3.7462922679034493e-4,7.918080251871679,15,8
South Carolina,Senate,0.4065795356367926,0.021021555915855784,4.4190621371019884e-4,9.001227332943714,2,1
South Dakota,Senate,0.41770214292636204,0.027743324498106296,7.69693288324929e-4,20.999397158567763,2,1
Utah,Senate,0.4318858338171663,0.020024368467473234,4.0398337034118286e-4,13.194820973736428,6,2
Vermont,Senate,0.5351171180311524,0.01580877569669975,2.499331673027132e-4,7.10321525627695,3,1
Washington,Senate,0.5535512036992103,0.022478282583662766,5.217980746345721e-4,10.854127785059616,12,3
Wisconsin,Senate,0.4918959244719916,0.017629363877821148,3.1328209854455735e-4,5.315768522908868,9,6
Arizona,Governor,0.49801811466968277,0.018466009276967933,3.4667541505746465e-4,6.8493388383110965,8,7
Arkansas,Governor,0.3840794997480911,0.01798541132103802,3.453446428701387e-4,7.415402294149891,4,3
California,Governor,0.651685393258427,0.01551161086154731,2.4061007152007246e-4,11,1,1
Colorado,Governor,0.575648919047154,0.01591257579930399,2.544351318112008e-4,10.882119763843646,5,2
Connecticut,Governor,0.5764337455892966,0.01347840767813873,1.8854286511783998e-4,6.808855008494268,5,2
Florida,Governor,0.4647022286041271,0.020926108019629443,4.565193940151938e-4,6.909822051176514,9,7
Georgia,Governor,0.47344483160384854,0.01726187420714797,3.049317785399092e-4,5.086486475397213,21,11
Illinois,Governor,0.5635027227557652,0.01573794963681431,2.4786177232616476e-4,16.897926406618463,3,1
Iowa,Governor,0.40937833254745387,0.021485075756964525,4.625557608796732e-4,11.9740047120503,4,0
Kansas,Governor,0.5287519663772351,0.02015847174487969,0.00042495693734416413,9.995056586118855,5,2
Maine,Governor,0.566619439135916,0.01754006259587003,3.1196054081888817e-4,8.277624298262976,7,3
Massachusetts,Governor,0.6380181329124626,0.022182805730669358,4.961409985938128e-4,18.96010610655491,2,2
Michigan,Governor,0.5683008260489076,0.019832857985715716,3.9716328025701895e-4,8.892687375488103,10,5
Minnesota,Governor,0.5496770569158468,0.018959053868383268,3.673075662119311e-4,10.665317251647293,6,3
Nevada,Governor,0.49534053065367345,0.017402902076910063,3.07407473205584e-4,11.695969943141112,10,3
New Hampshire,Governor,0.4097153514225576,0.019016680735372837,3.6759000589618214e-4,10.055593116256519,7,3
New Mexico,Governor,0.5470031675133039,0.020471349801733874,4.293047978422503e-4,12.259840304182951,7,3
New York,Governor,0.5743259222955978,0.018249825518160213,3.408324156301856e-4,10.100448041010306,9,5
Ohio,Governor,0.4240191118324936,0.017688809529886534,3.186352363385313e-4,11.21302467684717,11,7
Oklahoma,Governor,0.44470545681725304,0.023942310432205415,5.85459184116379e-4,12.063716658056162,8,2
Oregon,Governor,0.5022666107770415,0.030300305383032765,9.216713314037352e-4,35.9362593696117,3,0
Pennsylvania,Governor,0.5491772199419405,0.018842988226811314,3.707648090778807e-4,7.701838619121617,13,7
South Carolina,Governor,0.46351231617614574,0.01924422878188512,3.750017834734528e-4,7.096332165993584,3,3
Texas,Governor,0.4620931224939961,0.017362020247800574,3.073623113177348e-4,10.222622720723363,20,5
Vermont,Governor,0.18675001291803842,0.01351853725076114,1.8531426412821256e-4,17.60822847274977,2,1
Wisconsin,Governor,0.5079633222904336,0.01787364924237427,3.2293002902338664e-4,6.552857428034707,8,6
New Jersey,Governor,0.5405089196354441,0.019601749210258396,3.947215859850262e-4,6.67518274443053,15,0
Virginia,Governor,0.503078066998368,0.01941534933487532,3.8634853546090593e-4,6.815805996231411,40,0
North Carolina,Governor,0.4666666666666667,0.02351778943168525,5.530864197530864e-4,10,1,0
Virginia,Senate,0.5125,0.017672144394498365,3.1230468750000003e-4,20,1,1
Oklahoma,Senate 1,0.3670584415584416,0.024050433418216926,5.829137809730007e-4,12.25,2,2
Oklahoma,Senate 2,0.3801109591123271,0.023960268780908917,5.774951494667765e-4,11.100000000000001,2,2
