state,office_type,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.535237675848975,0.018755758674908394,3.609776651459778e-4,10.066947496949592,14,10
Arkansas,Senate,0.41216216216216217,0.019801757187348452,3.9210958770670613e-4,26,1,1
Colorado,Senate,0.5428883275169832,0.017432166757437348,3.074005724216803e-4,12.915848003816656,8,3
Connecticut,Senate,0.5827831349565937,0.01352258044271656,1.9005557410739407e-4,7.568242092457558,2,2
Florida,Senate,0.48299014393169604,0.01998430459078834,4.1775427195896457e-4,8.700707258345146,21,6
Georgia,Senate,0.5141188320706289,0.01697420778771088,2.9360444898307315e-4,8.165083773918708,23,10
Illinois,Senate,0.6153811595338949,0.017098828755319043,2.923964468888137e-4,19.6173849245997,2,1
Indiana,Senate,0.4827586206896552,0.011660251196122125,1.3596145795666747e-4,13,1,0
Iowa,Senate,0.47572681049578575,0.01595879105833806,2.582445034637983e-4,8.114116696676632,10,1
Kansas,Senate,0.4116074260240026,0.020753946037175827,4.475372403812361e-4,17.72183726471448,2,2
Kentucky,Senate,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0
Maryland,Senate,0.43023255813953487,0.023876255795842037,5.700755908284805e-4,14,1,0
Missouri,Senate,0.43508339858679457,0.01993890777549891,4.0141027303482754e-4,15.148198267991992,3,1
Nevada,Senate,0.48990448867553704,0.018876494770468672,3.673034235685196e-4,10.882338684914108,14,4
New Hampshire,Senate,0.5536413237380946,0.020725213320928398,4.3515381833403614e-4,8.896403145913943,9,4
New York,Senate,0.6134974490212539,0.01904986178539181,3.658536373274131e-4,10.732075869093945,5,2
North Carolina,Senate,0.497117501703416,0.019341691359170916,3.7838471149844046e-4,10.641275467409958,15,8
Ohio,Senate,0.5049498221221919,0.01828746927042111,3.401559711707208e-4,9.976515734098127,14,8
Pennsylvania,Senate,0.5315145292085737,0.01913568867159285,3.809512040936888e-4,10.539231381631897,20,11
South Carolina,Senate,0.40657953563679267,0.021021555915855788,4.419062137101989e-4,9.001227332943715,2,1
South Dakota,Senate,0.417702142926362,0.027743324498106292,7.696932883249289e-4,20.99939715856776,2,1
Utah,Senate,0.43188583381716633,0.020024368467473234,4.039833703411829e-4,13.194820973736428,6,2
Vermont,Senate,0.5351171180311524,0.015808775696699754,2.499331673027132e-4,7.10321525627695,3,1
Washington,Senate,0.5373258452386581,0.01978624684470711,4.131467862039003e-4,8.515118533584543,13,4
Wisconsin,Senate,0.4889189842040558,0.017112545238858107,2.9492593549058845e-4,5.283059014961863,11,7
Arizona,Governor,0.49989668130710885,0.01847373744922243,3.50546063328135e-4,8.468221885751007,11,9
Arkansas,Governor,0.384079499748091,0.017985411321038015,3.4534464287013867e-4,7.4154022941498905,4,3
California,Governor,0.651685393258427,0.01551161086154731,2.4061007152007246e-4,11,1,1
Colorado,Governor,0.5623660624136818,0.015948516756326234,2.5500822628759005e-4,10.515984474586073,6,2
Connecticut,Governor,0.5764337455892965,0.013478407678138729,1.8854286511783995e-4,6.808855008494267,5,2
Florida,Governor,0.464702228604127,0.020926108019629443,4.5651939401519375e-4,6.909822051176513,9,7
Georgia,Governor,0.4717458936752543,0.01710823501277694,2.9871431640431757e-4,5.379912797363349,22,12
Illinois,Governor,0.5806033333315689,0.01645116493004702,2.7088264216467925e-4,14.288557992566302,4,2
Iowa,Governor,0.40937833254745387,0.021485075756964525,4.625557608796732e-4,11.9740047120503,4,0
Kansas,Governor,0.5287519663772351,0.02015847174487969,4.249569373441641e-4,9.995056586118855,5,2
Maine,Governor,0.566619439135916,0.01754006259587003,3.1196054081888817e-4,8.277624298262976,7,3
Massachusetts,Governor,0.6380181329124626,0.022182805730669358,4.961409985938127e-4,18.960106106554903,2,2
Michigan,Governor,0.5683008260489076,0.019832857985715716,3.9716328025701895e-4,8.892687375488103,10,3
Minnesota,Governor,0.5377658243028344,0.019850110888104646,4.001663260207445e-4,9.722880001389068,7,4
