state,office_type,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5313989726316054,0.017988554692423386,3.335204891807535e-4,8.33414643792674,15,10
Arkansas,Senate,0.41216216216216217,0.019801757187348452,3.9210958770670613e-4,26,1,1
Colorado,Senate,0.5428883275169832,0.017432166757437348,3.074005724216803e-4,12.915848003816656,8,2
Connecticut,Senate,0.5827831349565937,0.013522580442716562,1.9005557410739407e-4,7.568242092457558,2,2
Florida,Senate,0.4794238852627325,0.018115042803579735,3.5183260251447966e-4,9.518617088228744,24,7
Georgia,Senate,0.5245214336646877,0.017758330914575984,3.234923533517935e-4,9.012677394128753,25,10
Illinois,Senate,0.6153811595338949,0.017098828755319043,2.923964468888137e-4,19.6173849245997,2,1
Indiana,Senate,0.4827586206896552,0.011660251196122125,1.3596145795666747e-4,13,1,0
Iowa,Senate,0.4358172690890916,0.019660047130216494,3.9168776983968364e-4,6.6586484692701875,11,2
Kansas,Senate,0.4116074260240026,0.020753946037175827,4.475372403812361e-4,17.721837264714484,2,2
Kentucky,Senate,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0
Maryland,Senate,0.43023255813953487,0.023876255795842037,5.700755908284805e-4,14,1,0
Missouri,Senate,0.43467261519921224,0.0175788623390577,3.1538346286432627e-4,14.083421731439037,4,2
Nevada,Senate,0.48954568297608897,0.01907420260229346,3.717985458848839e-4,11.198571893405015,15,5
New Hampshire,Senate,0.5402957699897506,0.018203205334278553,3.39710964789364e-4,7.999898945440202,12,7
New York,Senate,0.6134974490212539,0.01904986178539181,3.658536373274131e-4,10.732075869093945,5,2
North Carolina,Senate,0.4964937748964773,0.019653601702155663,3.900277120011111e-4,11.547537155768262,16,7
Ohio,Senate,0.5049498221221919,0.01828746927042111,3.4015597117072075e-4,9.976515734098125,14,8
Oregon,Senate,0.6178960096735188,0.01893822156357647,3.586562359911127e-4,17.299999999999997,1,1
Pennsylvania,Senate,0.5322476247039565,0.019780106082928274,4.067807097703767e-4,10.945538761581554,21,10
South Carolina,Senate,0.40657953563679267,0.021021555915855788,4.419062137101989e-4,9.001227332943715,2,1
South Dakota,Senate,0.417702142926362,0.027743324498106292,7.696932883249289e-4,20.99939715856776,2,1
Utah,Senate,0.4318858338171663,0.020024368467473234,4.0398337034118286e-4,13.194820973736428,6,1
Vermont,Senate,0.6559350054146373,0.017250172239613837,2.9813850942340145e-4,9.379207858749607,4,2
