state,office_type,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5366066173006885,0.01911577903122135,3.725119368281679e-4,10.959691214097788,10,7
Arkansas,Senate,0.41216216216216217,0.019801757187348452,3.9210958770670613e-4,26,1,1
Colorado,Senate,0.5394676060986604,0.019519306506167337,3.85508926441219e-4,12.495277710066308,6,3
Connecticut,Senate,0.574793875147232,0.016966879544014095,2.878750014610839e-4,15.099999999999994,1,1
Florida,Senate,0.4825407134569034,0.01816039411232712,3.534594557890714e-4,8.81647576961541,19,5
Georgia,Senate,0.513719474103926,0.017687090739051253,3.206946359404209e-4,8.496460945742477,20,7
Illinois,Senate,0.560880829015544,0.01625116050438337,2.6410021773922994e-4,22.80000000000001,1,0
Indiana,Senate,0.4827586206896552,0.011660251196122125,1.3596145795666747e-4,13,1,1
Iowa,Senate,0.47572681049578575,0.01595879105833806,2.582445034637983e-4,8.114116696676632,10,1
Kansas,Senate,0.39325842696629215,0.026151876617447965,6.839206506142215e-4,11,1,1
Kentucky,Senate,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0
Maryland,Senate,0.43023255813953487,0.023876255795842037,5.700755908284805e-4,14,1,0
Missouri,Senate,0.439560439560448,0.016363545840545224,2.677656324756302e-4,9.000000000000307,2,1
Nevada,Senate,0.503393099993378,0.01825576238808239,3.427923449424014e-4,15.33607990834362,11,2
New Hampshire,Senate,0.5577514279199276,0.01846287646804037,3.409142192138948e-4,9.33057645141716,6,1
New York,Senate,0.6290087066566817,0.017381965399376094,3.057131368511716e-4,13.683859398106529,4,1
North Carolina,Senate,0.4895650727839306,0.0176587105895721,3.1785888635582285e-4,10.576429925423799,11,4
Ohio,Senate,0.5024352429833544,0.01773444577443244,3.1969054542458855e-4,9.760318800092518,13,9
Pennsylvania,Senate,0.5422534030374153,0.018945806794156195,3.74629226790345e-4,7.918080251871679,15,9
South Carolina,Senate,0.40657953563679267,0.021021555915855788,4.419062137101989e-4,9.001227332943715,2,1
South Dakota,Senate,0.41770214292636204,0.027743324498106296,7.69693288324929e-4,20.999397158567763,2,1
Utah,Senate,0.43188583381716633,0.020024368467473234,4.0398337034118286e-4,13.194820973736428,6,2
Vermont,Senate,0.5351171180311525,0.015808775696699754,2.499331673027133e-4,7.103215256276951,3,1
Washington,Senate,0.5535512036992103,0.02247828258366277,5.217980746345721e-4,10.854127785059616,12,3
Wisconsin,Senate,0.4970928842159431,0.018331950598283034,3.3822122172432666e-4,4.511380487925062,7,4
Arizona,Governor,0.5036065946364184,0.018543598681987978,3.5124435940075537e-4,8.32008800672316,7,6
Arkansas,Governor,0.3840794997480911,0.01798541132103802,3.453446428701387e-4,7.415402294149892,4,3
California,Governor,0.651685393258427,0.01551161086154731,2.4061007152007246e-4,11,1,1
Colorado,Governor,0.5328980583375272,0.014674157806943595,2.1698845511337056e-4,9.971397775945325,4,2
Connecticut,Governor,0.5581076985648465,0.016825842692834096,2.831886738769172e-4,13.043826457019104,4,1
Florida,Governor,0.46615993743245876,0.020119367310628026,4.346200403192743e-4,6.921476805305895,7,6
Georgia,Governor,0.4747663196507238,0.017348793639592647,3.081747197976745e-4,6.036582549844016,18,8
Illinois,Governor,0.5635027227557651,0.015737949636814307,2.4786177232616476e-4,16.89792640661846,3,1
Iowa,Governor,0.40937833254745387,0.02148507575696452,4.6255576087967314e-4,11.974004712050297,4,0
Kansas,Governor,0.563718575958257,0.0258312457010915,6.672600087167968e-4,6.0051695828778895,4,1
Maine,Governor,0.562197597271256,0.01859043214945213,3.456099858148801e-4,12.500527909683939,5,1
Massachusetts,Governor,0.6380181329124626,0.022182805730669358,4.961409985938127e-4,18.960106106554907,2,2
Michigan,Governor,0.5583751426387034,0.01929320396966416,3.775212006923941e-4,10.601163876070494,9,4
Minnesota,Governor,0.5496770569158467,0.018959053868383268,3.673075662119311e-4,10.665317251647295,6,4
Nevada,Governor,0.5021760827079236,0.018529711854671976,3.524669166906072e-4,16.727611989120486,8,2
New Hampshire,Governor,0.4093848001247756,0.017755296215144715,3.201246312083132e-4,13.213820723043211,5,1
New Mexico,Governor,0.5470031675133038,0.02047134980173387,4.2930479784225026e-4,12.25984030418295,7,3
New York,Governor,0.5743259222955976,0.018249825518160213,3.408324156301856e-4,10.100448041010306,9,5
Ohio,Governor,0.4240191118324936,0.017688809529886534,3.186352363385314e-4,11.21302467684717,11,8
Oklahoma,Governor,0.44470545681725304,0.023942310432205415,5.85459184116379e-4,12.06371665805616,8,2
Oregon,Governor,0.5022666107770415,0.030300305383032765,9.216713314037352e-4,35.936259369611705,3,0
Pennsylvania,Governor,0.5491772199419405,0.018842988226811314,3.7076480907788064e-4,7.701838619121616,13,8
South Carolina,Governor,0.4635123161761458,0.01924422878188512,3.750017834734528e-4,7.0963321659935845,3,3
Texas,Governor,0.4619839091213441,0.016199213503031988,2.659855872358418e-4,11.514342587239264,19,4
Vermont,Governor,0.18675001291803844,0.013518537250761142,1.8531426412821256e-4,17.608228472749772,2,1
Wisconsin,Governor,0.5128025145968595,0.01874946774081203,3.5486089311857413e-4,4.887036623377542,6,4
New Jersey,Governor,0.5405089196354441,0.019601749210258396,3.9472158598502624e-4,6.675182744430527,15,0
Virginia,Governor,0.503078066998368,0.01941534933487532,3.86348535460906e-4,6.815805996231409,40,0
North Carolina,Governor,0.4666666666666667,0.02351778943168525,5.530864197530864e-4,10,1,0
Virginia,Senate,0.5125,0.017672144394498365,3.1230468750000003e-4,20,1,1
Oklahoma,Senate 1,0.3670584415584416,0.024050433418216926,5.829137809730007e-4,12.25,2,2
Oklahoma,Senate 2,0.3801109591123271,0.023960268780908917,5.774951494667765e-4,11.100000000000001,2,2
