state,office_type,weighted_polls,weighted_var,weighted_sd,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5402713511451345,3.5501882058885465e-4,0.018841943121367676,10.542820432141138,16,7
Arkansas,Senate,0.41216216216216217,3.9210958770670613e-4,0.019801757187348452,26,1,1
Colorado,Senate,0.5437752926893261,2.788929175653778e-4,0.016700087352028364,11.191526485214395,10,4
Connecticut,Senate,0.5827831349565937,1.9005557410739407e-4,0.013786064489454344,7.568242092457558,2,1
Florida,Senate,0.47942388526273255,3.5183260251447966e-4,0.018757201350800702,9.518617088228746,24,5
Georgia,Senate,0.5223778265446375,3.1407718007449954e-4,0.017722222774654975,8.606856695867826,26,9
Illinois,Senate,0.6153811595338949,2.923964468888137e-4,0.017099603705607147,19.6173849245997,2,1
Indiana,Senate,0.4827586206896552,1.3596145795666747e-4,0.011660251196122125,13,1,0
Iowa,Senate,0.4368866279925335,3.5039879781337654e-4,0.018718942219403758,9.527332998016625,12,2
Kansas,Senate,0.4116074260240027,4.475372403812362e-4,0.021155075995638404,17.721837264714484,2,1
Kentucky,Senate,0.4148936170212766,4.132032401298363e-4,0.02032740121436669,6,1,0
Maryland,Senate,0.43023255813953487,5.700755908284805e-4,0.023876255795842037,14,1,0
Missouri,Senate,0.43467261519921224,3.153834628643263e-4,0.017759038905986055,14.083421731439037,4,2
Nevada,Senate,0.48954568297608897,3.717985458848839e-4,0.019282078360096037,11.198571893405015,15,4
New Hampshire,Senate,0.5402957699897505,3.39710964789364e-4,0.018431249680620248,7.999898945440201,12,7
New York,Senate,0.6134974490212539,3.658536373274131e-4,0.019127300837478694,10.732075869093945,5,1
North Carolina,Senate,0.4964937748964773,3.900277120011111e-4,0.019749119271529836,11.54753715576826,16,6
Ohio,Senate,0.5006372129235601,3.654135922769623e-4,0.019115794314570406,9.787358283147121,15,6
Oregon,Senate,0.6178960096735188,3.586562359911127e-4,0.01893822156357647,17.299999999999997,1,1
Pennsylvania,Senate,0.5322476247039565,4.067807097703767e-4,0.02016880536299502,10.945538761581554,21,9
South Carolina,Senate,0.40657953563679267,4.419062137101989e-4,0.021021565443853103,9.001227332943715,2,0
South Dakota,Senate,0.417702142926362,7.696932883249289e-4,0.027743346739802843,20.99939715856776,2,1
Utah,Senate,0.43188583381716633,4.0398337034118286e-4,0.020099337559760094,13.194820973736428,6,1
Vermont,Senate,0.6559350054146373,2.9813850942340145e-4,0.017266687853303004,9.379207858749607,4,1
Washington,Senate,0.5466066761139678,3.7839754357678476e-4,0.01945244312616759,8.092154259301706,15,4
Wisconsin,Senate,0.49169141191683013,3.0129587244426823e-4,0.017357876380602214,4.446380840807547,13,9
Arizona,Governor,0.49991782453838157,3.2365906482611877e-4,0.017990527085833777,7.144559076755938,12,6
Arkansas,Governor,0.3840794997480911,3.453446428701387e-4,0.018583450779393444,7.415402294149892,4,2
California,Governor,0.6322584845366582,1.0205555811484869e-4,0.01010225510046389,13.759897924510451,2,2
Colorado,Governor,0.582774178296555,2.4872379546553915e-4,0.01577097953411706,8.614560991904057,8,4
Connecticut,Governor,0.5764337455892965,1.8854286511783998e-4,0.013731091184528635,6.808855008494268,5,1
Florida,Governor,0.4641310096149235,3.672258465778455e-4,0.019163137701792093,7.40784263327768,12,5
Georgia,Governor,0.47434158385830716,3.099619916531331e-4,0.017605737464052255,5.3522078323278865,25,10
Illinois,Governor,0.580603333331569,2.7088264216467925e-4,0.01645851275676752,14.288557992566304,4,1
Iowa,Governor,0.3980014554887981,3.4934427344633623e-4,0.018690753688557778,7.522057362417763,6,2
Kansas,Governor,0.5287519663772351,0.00042495693734416413,0.020614483678815826,9.9950565861188565,5,1
Maine,Governor,0.566619439135916,3.1196054081888817e-4,0.01766240472922326,8.277624298262976,7,2
Maryland,Governor,0.6818181818181818,3.043520605504077e-4,0.017445688881509026,12,1,1
Massachusetts,Governor,0.6380181329124626,4.961409985938127e-4,0.022274222738264352,18.960106106554903,2,1
Michigan,Governor,0.5577064436354096,3.278659170063304e-4,0.01810706815048561,7.320656146881503,13,5
Minnesota,Governor,0.5440223453037426,4.1917634942041225e-4,0.020473796653781934,9.82034111906704,8,4
Nebraska,Governor,0.4606741573033708,2.0832926219704846e-4,0.014433615700753863,11,1,1
Nevada,Governor,0.49102717189652884,3.3480813192996323e-4,0.018297763030763164,12.143020468968881,11,3
New Hampshire,Governor,0.411827492605072,3.6048332988678584e-4,0.018986398549666703,11.34924041435832,10,6
New Mexico,Governor,0.5510531414341221,4.700454473935392e-4,0.021680531529313096,10.956688827324118,10,5
New York,Governor,0.553198585682536,3.2917941303138625e-4,0.01814330215345008,9.636529446314185,12,4
Ohio,Governor,0.4036491245755114,3.5495012289020255e-4,0.018840120033858664,10.66602575630688,13,6
Oklahoma,Governor,0.47112047308877425,7.094795850170152e-4,0.026636057985689535,12.570416217260368,11,3
Oregon,Governor,0.48468194099815276,4.971462957732926e-4,0.022296777699328946,30.94582763426608,4,1
Pennsylvania,Governor,0.5621253870769092,3.971819482525303e-4,0.019929424182663438,9.701810373800985,19,9
Rhode Island,Governor,0.5722789923023655,5.682739307625989e-4,0.023838496822631224,20.044367174493573,2,2
South Carolina,Governor,0.4635123161761457,3.7500178347345275e-4,0.019364962780068874,7.096332165993583,3,0
Texas,Governor,0.46172666018129116,2.7154291049796435e-4,0.016478559114739503,7.54942072664886,22,4
Vermont,Governor,0.34461478948850055,3.4589847734369075e-4,0.018598346091620373,20.21181760589292,3,1
Wisconsin,Governor,0.5039934039316681,3.042698933437733e-4,0.017443333779520852,4.743314496628247,12,8
New Jersey,Governor,0.5405089196354441,3.947215859850263e-4,0.01986760141499286,6.675182744430531,15,0
Virginia,Governor,0.503078066998368,3.86348535460906e-4,0.019655750696956503,6.8158059962314095,40,0
North Carolina,Governor,0.4666666666666667,5.530864197530864e-4,0.02351778943168525,10,1,0
Virginia,Senate,0.5125,3.1230468750000003e-4,0.017672144394498365,20,1,1
Oklahoma,Senate 1,0.38125210643752055,5.69373601545932e-4,0.02386155069449452,13.127998096772199,3,1
Oklahoma,Senate 2,0.4092561250392586,5.65313887004394e-4,0.023776330393994655,11.049828680184447,3,1
Alaska,Senate,0.5323010502543488,6.488241787100464e-4,0.02547202737730247,12.487368740764044,30,9
Louisiana,Senate,0.37035717765946685,5.68941885765453e-4,0.02385250271492392,19.000899267080932,2,0
