state,office_type,weighted_polls,weighted_var,weighted_sd,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5351478917074182,4.067477812393938e-4,0.02016798902318706,10.869746597504047,19,8
Arkansas,Senate,0.41216216216216217,3.9210958770670613e-4,0.019801757187348452,26,1,0
Colorado,Senate,0.5377028990320663,3.072757373975647e-4,0.01752928228415427,10.843889654738415,11,5
Connecticut,Senate,0.5451106143899753,2.1250435601539752e-4,0.01457752914644308,7.185298081178865,3,2
Florida,Senate,0.47942388526273255,3.5183260251447966e-4,0.018757201350800702,9.518617088228746,24,5
Georgia,Senate,0.5176332525162817,3.04157496627139e-4,0.017440111714869803,7.96304300631507,31,11
Illinois,Senate,0.6067319830088265,3.2839571912543925e-4,0.018121691949854992,18.818410021926002,4,3
Indiana,Senate,0.4827586206896552,1.3596145795666747e-4,0.011660251196122125,13,1,0
Iowa,Senate,0.457963369342058,3.714734671790436e-4,0.01927364696104615,9.59872339617796,14,4
Kansas,Senate,0.41160742602400263,4.475372403812361e-4,0.0211550759956384,17.721837264714484,2,1
Kentucky,Senate,0.4148936170212766,4.132032401298363e-4,0.02032740121436669,6,1,0
Maryland,Senate,0.43023255813953487,5.700755908284805e-4,0.023876255795842037,14,1,0
Missouri,Senate,0.43467261519921224,3.1538346286432627e-4,0.01775903890598605,14.083421731439037,4,2
Nevada,Senate,0.49597619102171636,4.277355315786194e-4,0.020681768096045834,11.080270006519854,16,5
New Hampshire,Senate,0.5402957699897505,3.3971096478936397e-4,0.018431249680620248,7.9998989454402,12,6
New York,Senate,0.6104232969827706,3.26332779467711e-4,0.018064683209724743,9.03235321057175,7,3
North Carolina,Senate,0.48991510594505067,3.796823704901775e-4,0.0194854399614219,9.893586131499623,18,7
Ohio,Senate,0.4943044421746251,3.6982819055103057e-4,0.0192309175691393,9.283996961515918,18,5
Oregon,Senate,0.6178960096735188,3.586562359911127e-4,0.01893822156357647,17.299999999999997,1,1
Pennsylvania,Senate,0.5286555408958922,3.77811732417439e-4,0.019437379772424036,10.394583678893587,22,7
South Carolina,Senate,0.4065795356367927,4.4190621371019895e-4,0.021021565443853103,9.001227332943717,2,0
South Dakota,Senate,0.417702142926362,7.696932883249289e-4,0.027743346739802843,20.99939715856776,2,0
Utah,Senate,0.4673583009255888,5.43692392875959e-4,0.02331721237360845,13.587546654021969,8,2
Vermont,Senate,0.6559350054146375,2.981385094234015e-4,0.017266687853303004,9.37920785874961,4,1
Washington,Senate,0.5422653374889919,3.955068139441738e-4,0.019887353115590162,8.802610939471272,16,4
Wisconsin,Senate,0.49453922975047687,3.012469295420963e-4,0.017356466505083813,4.562549130220224,14,7
Arizona,Governor,0.4960442901966435,3.984718864787025e-4,0.019961760605685625,7.497902029932418,15,8
Arkansas,Governor,0.3840794997480911,3.453446428701387e-4,0.018583450779393444,7.415402294149891,4,0
California,Governor,0.6250325076147161,1.8793474221116122e-4,0.013708929287554197,10.480924197837565,3,2
Colorado,Governor,0.582774178296555,2.4872379546553915e-4,0.01577097953411706,8.614560991904057,8,4
Connecticut,Governor,0.5764337455892965,1.8854286511783995e-4,0.013731091184528633,6.808855008494267,5,1
Florida,Governor,0.46413100961492343,3.672258465778455e-4,0.019163137701792093,7.40784263327768,12,5
Georgia,Governor,0.4718144333800526,2.937868249647255e-4,0.01714021076196922,4.697724214821853,29,11
Illinois,Governor,0.6084380936079048,3.230328870973847e-4,0.01797311567584721,18.593365839761592,6,3
Iowa,Governor,0.3998205825672854,3.9016699950379625e-4,0.019752645379892696,9.840921136215947,7,3
Kansas,Governor,0.5287519663772351,0.00042495693734416413,0.020614483678815826,9.9950565861188565,5,1
Maine,Governor,0.566619439135916,3.1196054081888817e-4,0.01766240472922326,8.277624298262976,7,2
Maryland,Governor,0.6818181818181818,3.043520605504077e-4,0.017445688881509026,12,1,1
Massachusetts,Governor,0.6380181329124626,4.961409985938127e-4,0.022274222738264352,18.960106106554903,2,0
Michigan,Governor,0.5432582136891311,4.038174429244464e-4,0.02009520945211685,9.153305281301497,16,7
Minnesota,Governor,0.5379884514023622,3.27332749261269e-4,0.018092339518737455,10.267098090138095,9,3
Nebraska,Governor,0.4606741573033708,2.0832926219704846e-4,0.014433615700753863,11,1,1
Nevada,Governor,0.4928911540846512,4.16874735246927e-4,0.020417510505615688,12.568351202478228,12,4
New Hampshire,Governor,0.411827492605072,3.6048332988678584e-4,0.018986398549666703,11.34924041435832,10,5
New Mexico,Governor,0.5510531414341222,4.700454473935392e-4,0.021680531529313096,10.95668882732412,10,3
New York,Governor,0.550564384171918,3.2481645342613633e-4,0.018022664992340516,8.161831970183393,15,6
Ohio,Governor,0.40638481308624125,3.575655112509432e-4,0.018909402720629312,9.73852014893757,16,5
Oklahoma,Governor,0.4839250691299349,6.498428008998098e-4,0.02549201445354623,11.240408238527996,12,4
Oregon,Governor,0.47462900883231846,4.182891467177813e-4,0.020452118391936353,23.40650967352019,5,2
Pennsylvania,Governor,0.5594792252956305,3.6685422758853234e-4,0.019153439053823527,8.554183334914056,20,7
Rhode Island,Governor,0.5722789923023655,5.682739307625989e-4,0.023838496822631224,20.044367174493573,2,2
South Carolina,Governor,0.46351231617614574,3.750017834734528e-4,0.019364962780068874,7.096332165993584,3,0
Texas,Governor,0.4643555157930933,2.820479482783401e-4,0.016794283202278687,6.279261729965693,24,5
Vermont,Governor,0.34461478948850055,3.4589847734369075e-4,0.018598346091620373,20.21181760589292,3,1
Wisconsin,Governor,0.5039934039316681,3.042698933437733e-4,0.017443333779520852,4.743314496628247,12,6
New Jersey,Governor,0.5405089196354442,3.947215859850263e-4,0.01986760141499286,6.675182744430528,15,0
Virginia,Governor,0.503078066998368,3.86348535460906e-4,0.019655750696956503,6.815805996231409,40,0
North Carolina,Governor,0.4666666666666667,5.530864197530864e-4,0.02351778943168525,10,1,0
Virginia,Senate,0.5125,3.1230468750000003e-4,0.017672144394498365,20,1,0
Oklahoma,Senate 1,0.4100460286570426,6.512958028589474e-4,0.02552049770006352,11.134433576682806,5,3
Oklahoma,Senate 2,0.4303713813743031,6.451756702097091e-4,0.025400308466821994,9.065510014869256,5,3
Alaska,Senate,0.5323010502543489,6.488241787100464e-4,0.02547202737730247,12.487368740764044,30,9
Louisiana,Senate,0.3628225457597397,4.5932720854605726e-4,0.021431920318675534,17.309128197994276,3,1
