state,office_type,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls
Arizona,Senate,0.5301588576171923,0.01747492066579293,3.0852544553535555e-4,7.609122465335118,5,3
Colorado,Senate,0.5394676060986604,0.019519306506167344,3.855089264412191e-4,12.49527771006631,6,3
Florida,Senate,0.49301696917008014,0.0164622413675056,3.0328754950975965e-4,8.28794301372202,17,5
Georgia,Senate,0.5028762793380387,0.018651806215200722,3.552857315478243e-4,8.632208866470153,15,2
Illinois,Senate,0.560880829015544,0.01625116050438337,2.6410021773922994e-4,22.80000000000001,1,0
Indiana,Senate,0.4827586206896552,0.011660251196122125,1.3596145795666747e-4,13,1,1
Iowa,Senate,0.4595111257208826,0.019507001895718135,3.923177017741304e-4,8.844360282228319,9,0
Kentucky,Senate,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0
Maryland,Senate,0.43023255813953487,0.023876255795842037,5.700755908284805e-4,14,1,0
Missouri,Senate,0.439560439560448,0.016363545840545224,2.677656324756302e-4,9.000000000000307,2,1
Nevada,Senate,0.5127085362883815,0.019581831687841663,4.0385341533048693e-4,13.060278249010533,10,2
New Hampshire,Senate,0.5505608179451924,0.019872723232249413,3.949254397490513e-4,10.999960338337388,5,0
New York,Senate,0.6057771414368,0.019325425603473327,3.7824350107751277e-4,12.686038016432821,3,1
North Carolina,Senate,0.5029612093957426,0.022020849603828472,4.862036815812508e-4,16.10215796748837,8,2
Ohio,Senate,0.49604748771676205,0.017296013331531152,3.004624972403177e-4,6.89084950329146,6,3
Pennsylvania,Senate,0.5497438755354237,0.01954016708173135,3.9067441166453e-4,12.137173328912752,11,6
South Carolina,Senate,0.3048780487804878,0.02273535037049134,5.168961564690007e-4,18,1,0
South Dakota,Senate,0.2891566265060241,0.02488195454963052,6.191116622098788e-4,17,1,0
Utah,Senate,0.4755005774357574,0.019942996518939236,4.0483420259771385e-4,10.725623496650014,5,2
Vermont,Senate,0.6966292134830913,0.020181732220645867,4.073023154258575e-4,11.000000000002544,2,0
Washington,Senate,0.5292581923714987,0.018565987105875505,3.598510363308774e-4,6.4866453456483555,10,2
Wisconsin,Senate,0.5153887302310247,0.015666166400039736,2.4553548326460575e-4,3.694680557673131,4,2
Arizona,Governor,0.4987540434042809,0.017134789753472136,2.95843865438595e-4,8.778754500422357,3,3
Arkansas,Governor,0.32558139534883723,0.01757084229516905,3.0873449896170156e-4,14,1,0
Colorado,Governor,0.5328980583375273,0.014674157806943595,2.169884551133706e-4,9.971397775945325,4,2
Connecticut,Governor,0.5574009378195114,0.013964393318811134,1.9793596262962843e-4,5.220514855671727,3,0
Florida,Governor,0.47078640224287915,0.020315582129887377,4.61760701956285e-4,7.964543057758525,5,4
Georgia,Governor,0.477502461739986,0.017845305226115857,3.2456015770943486e-4,6.791817447333232,13,3
Illinois,Governor,0.5635027227557651,0.015737949636814307,2.4786177232616476e-4,16.89792640661846,3,1
Iowa,Governor,0.40937833254745387,0.021485075756964525,4.625557608796732e-4,11.9740047120503,4,0
Kansas,Governor,0.4777782909559082,0.023546801038034842,5.544526043830698e-4,10.000047105244217,3,0
Maine,Governor,0.5217304907425252,0.019216115973875656,3.7154461653808937e-4,12.742966643552995,4,0
Michigan,Governor,0.5567692141277366,0.019991654126572223,4.079626205327915e-4,11.846723141372369,8,3
Minnesota,Governor,0.5810852325985478,0.02280947728743242,5.220189578616498e-4,10.058448189105723,3,1
Nevada,Governor,0.5034406715121397,0.019770816525585655,4.096474145847249e-4,13.114702424001386,7,2
New Hampshire,Governor,0.38463399503774065,0.014176626988915919,2.1442693606847315e-4,23.123861796959027,4,1
New Mexico,Governor,0.5364631716294842,0.023353761267356027,5.456101686888989e-4,12.314412825640531,5,1
New York,Governor,0.6002459670225957,0.01942561468975961,3.7981638273452587e-4,12.761410280622957,5,2
Ohio,Governor,0.4298255320103943,0.018015497172766497,3.3086269880676724e-4,13.13545635007555,4,3
Oklahoma,Governor,0.4415281225078442,0.013171635234437347,1.7804516475739506e-4,24.004242639169842,6,0
Oregon,Governor,0.5022666107770415,0.030300305383032765,9.216713314037352e-4,35.9362593696117,3,1
Pennsylvania,Governor,0.5414563417619894,0.019528696633914468,3.917397808215501e-4,12.497403111695748,9,5
South Carolina,Governor,0.45993101243699547,0.017860639979296312,3.229560201296719e-4,7.954954212453667,2,2
Texas,Governor,0.4609285132103937,0.014730717665730076,2.1885632061057148e-4,10.61954945534558,16,2
Vermont,Governor,0.21052631578947367,0.018328407573837628,3.3593052419270857e-4,24,1,0
Wisconsin,Governor,0.5049000818293778,0.017619697644307104,3.165211927591781e-4,4.439432498003284,4,3
New Jersey,Governor,0.5405089196354441,0.0196017492102584,3.9472158598502624e-4,6.675182744430528,15,0
Virginia,Governor,0.503078066998368,0.01941534933487532,3.8634853546090593e-4,6.815805996231408,40,0
North Carolina,Governor,0.4666666666666667,0.02351778943168525,5.530864197530864e-4,10,1,0
