state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Governor,38.85691108757344,38.85691108757344,4.281278278341456,18.32934369659838,38.85691108757344,6.1857
AL,Senate,38.85691108757344,38.85691108757344,4.274279046529179,18.26946136759838,38.85691108757344,6.357
AK,Senate,42.34414164928131,52.8051976056358,6.014394816794928,36.172945012289695,52.093061234827104,58.3286
AK,Governor,42.34414164928131,42.34414164928131,4.476720417955858,20.041025700542868,42.34414164928131,17.7036
AZ,Senate,41.38652082164871,52.3726883717855,5.38574732440886,29.006274242377195,51.46840736161482,56.5787
AZ,Governor,41.38652082164871,49.33685019481922,4.494425780642634,20.19986309770515,48.6796799302196,43.4477
AR,Senate,36.5803502611594,38.53795216522996,5.736588315591401,32.90844550257979,37.853370765164975,9.6188
AR,Governor,36.5803502611594,42.55121006804029,4.77138648943267,22.766129031540626,40.57838500520845,12.426
CA,Governor,62.58687245579007,62.503250761471584,4.794939232192789,22.991442240421573,62.52095573619172,94.5304
CA,Senate,62.58687245579007,62.58687245579008,3.7820135917815527,14.3036268084204,62.58687245579007,97.4308
CO,Senate,54.268120302384304,54.72842622565548,5.145195194312603,26.473033587577504,54.668990170736514,70.8207
CO,Governor,54.268120302384304,58.13780516634615,4.816558167670193,23.199232582550447,57.53787092306766,82.297
CT,Senate,58.526242019500806,56.206255084062995,4.0798431758773575,16.645120339753042,56.6926224797061,80.4732
CT,Governor,58.526242019500806,57.885602852221005,4.396001320841137,19.324827612837016,57.985507379347965,83.9137
FL,Senate,48.53526438955828,47.553848472396574,5.142409851205667,26.44437907777709,47.67408819949862,38.6713
FL,Governor,48.53526438955828,45.43480108085579,4.930431165078024,24.30915147357264,45.83199161468134,29.426
GA,Senate,41.97169174882852,51.06421325786998,4.679537914378662,21.8980750921074,50.41397382424536,52.2656
GA,Governor,41.97169174882852,46.575454220529814,4.212659327353651,17.746498608339714,46.23924864272962,28.6424
HI,Governor,69.17210294990738,69.17210294990738,3.944289767737689,15.557421771880229,69.17210294990738,99.9006
HI,Senate,69.17210294990738,69.17210294990738,3.9501773423329016,15.603901035880227,69.17210294990738,99.9073
ID,Governor,34.35676477964845,34.35676477964845,4.975096691762943,24.75158709239057,34.35676477964845,2.2277
ID,Senate,34.35676477964845,34.35676477964845,4.834221809494324,23.369700503390572,34.35676477964845,2.0326
IL,Senate,57.926424852004544,60.673198300882646,6.070838746936671,36.85508309130761,60.09735839922374,85.7379
