state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Governor,38.85691108757344,38.85691108757344,3.4435750397803706,11.85820905459838,38.85691108757344,3.4359
AL,Senate,38.85691108757344,38.85691108757344,3.4435750397803706,11.85820905459838,38.85691108757344,3.6637
AK,Senate,42.34414164928131,53.230105025434895,5.586395016124207,31.207809276177382,52.30456927802549,59.6047
AK,Governor,42.34414164928131,42.34414164928131,3.662409694796975,13.41324477254287,42.34414164928131,15.0702
AZ,Senate,41.38652082164871,53.514789170741814,5.091895467606077,25.927399453027306,52.418467365176234,61.2576
AZ,Governor,41.38652082164871,49.604429019664344,4.42461061014918,19.57717905144469,48.857092605399686,44.1503
AR,Senate,36.5803502611594,41.21621621621621,3.326958315085632,11.068651630317426,36.720419601053216,1.6016
AR,Governor,36.5803502611594,38.40794997480911,3.272059996085026,10.70637661797994,36.79853390430797,1.4628
CA,Governor,62.58687245579007,62.503250761471605,4.513964729562201,20.375877579731554,62.52095573619174,95.431
CA,Senate,62.58687245579007,62.58687245579008,3.1657890566840363,10.0222203514204,62.58687245579007,98.7604
CO,Senate,54.268120302384304,53.770289903206624,4.928152024210749,24.2866823737325,53.827431944833535,67.9749
CO,Governor,54.268120302384304,58.2774178296555,4.415590887976573,19.497442889981745,57.75125325238204,84.6654
CT,Senate,58.526242019500806,54.51106143899753,3.916068306425234,15.3355909805882,55.36118378169773,75.662
CT,Governor,58.526242019500806,57.64337455892965,3.5755805631272497,12.78477636341338,57.935081802058406,86.5184
FL,Senate,48.53526438955828,47.94238852627325,4.779130389546362,22.84008728028556,48.00794836752312,39.5193
FL,Governor,48.53526438955828,46.41310096149234,4.353477940230094,18.952770176070057,46.65595782218899,31.5224
GA,Senate,41.97169174882852,51.76332525162817,4.442355204446782,19.73451976247541,50.98925733373068,55.8711
GA,Governor,41.97169174882852,47.18144333800526,3.4953776030459878,12.217664587875513,46.76886147514973,28.4247
HI,Governor,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.17210294990738,99.9958
HI,Senate,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.17210294990738,99.9958
ID,Governor,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390574,34.35676477964845,1.1034
ID,Senate,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390574,34.35676477964845,1.1781
IL,Senate,57.926424852004544,60.673198300882646,5.82270794401191,33.90392780125941,60.23440225426507,87.1319
IL,Governor,57.926424852004544,60.84380936079048,5.802413255979741,33.66799959316942,60.38340477721993,87.3978
IN,Senate,42.42633551137972,48.275862068965516,2.623759717587077,6.884115055632617,42.60307472937169,13.2855
IA,Senate,45.49003365482535,45.7963369342058,4.796160757778669,23.00315801445605,45.75709739129356,29.4045
IA,Governor,45.49003365482535,39.98205825672854,4.81259010461411,23.16102351502965,40.846102807435074,11.9544
KS,Senate,43.25556533851103,41.160742602400255,5.282295358226147,27.9026442515375,41.89331068919702,15.6984
KS,Governor,43.25556533851103,52.87519663772351,4.465198814865479,19.938000456276075,49.696785096320774,48.2621
KY,Senate,38.46817941987608,41.48936170212766,3.260848426799351,10.633132462559804,38.559462259387914,4.2422
LA,Senate,20.82507169120932,36.28225457597397,5.322005717309156,28.323744855071347,30.980335467841158,0.8827
ME,Governor,47.50684461591846,56.66194391359159,4.2721547606892765,18.25130629928005,54.797125274909426,75.3714
MD,Senate,59.60060257679597,43.02325581395348,3.2436478839628884,10.521251595136924,59.09973002336735,95.8005
MD,Governor,59.60060257679597,68.18181818181817,4.591392310172564,21.080883345911754,65.12100594614367,98.411
MA,Governor,63.42754700682979,63.801813291246255,2.9052016377002947,8.440196555696474,63.45010721073664,99.0925
MI,Governor,52.09968939110665,54.32582136891311,4.774317755728866,22.79411003266792,54.11154820265553,69.7458
MN,Governor,54.65445805866372,53.79884514023622,4.750879642303353,22.570857375652437,53.93149456953123,68.9595
MO,Senate,43.48693780265842,43.467261519921216,5.252994816061182,27.593954537565654,43.471386501077205,23.7432
NE,Governor,37.204872788557424,46.06741573033708,4.53944116781924,20.6065261160921,42.90625755368971,15.9449
NV,Senate,50.11676011924624,49.59761910217163,5.100751019967242,26.01766096769685,49.65633328735259,48.3063
NV,Governor,50.11676011924624,49.289115408465115,5.275866389873658,27.834766163798506,49.39598332824724,47.0298
NH,Senate,50.290426774892985,54.029576998975045,4.446504550173088,19.77140271470997,53.639438610448366,68.3533
NH,Governor,50.290426774892985,41.1827492605072,5.066623590075508,25.670674603509635,42.23131276649519,17.5427
NM,Governor,56.00332001977625,55.10531414341222,5.0111976740532125,25.11210212843633,55.24373193700225,73.4164
NY,Senate,65.32933917622134,61.042329698277065,4.557822859182044,20.77374921568239,61.71483945195623,94.4183
NY,Governor,65.32933917622134,55.0564384171918,4.476885443234979,20.04250327184925,56.12089670035083,79.7642
NC,Senate,49.56821954323046,48.99151059450506,4.886694472826452,23.8797828707526,49.04681882436996,45.339
ND,Senate,26.86014703279988,26.86014703279988,4.537650234611419,20.590269651669068,26.86014703279988,0.0721
OH,Senate,45.37027389356207,49.43044421746251,4.757207871148691,22.63102672931906,48.97388005218726,45.1095
OH,Governor,45.37027389356207,40.63848130862412,4.82729041657538,23.302732765960503,41.17364099921359,13.9672
OK,Governor,32.93398111723862,48.39250691299349,5.3655264689617495,28.78887428912914,46.39645658708556,35.0383
OK,Senate,32.93398111723862,41.00460286570426,5.312202141160367,28.21949158854879,39.72320297690152,12.8726
OK2,Senate,32.93398111723862,43.03713813743031,4.97979868719135,24.79839496495269,41.433025754801115,16.438
OR,Senate,57.60816808687109,61.78960096735187,5.082798685981183,25.834842482212032,60.29813617817482,89.5958
OR,Governor,57.60816808687109,47.46290088323184,6.121506954946852,37.47284739946269,49.5691537562044,48.144
PA,Senate,52.82642047516033,52.86555408958922,4.971908869539664,24.71987780700718,52.86182786178593,62.8599
PA,Governor,52.82642047516033,55.94792252956305,4.612230588919396,21.27267100536376,55.64963782315832,75.1279
RI,Governor,63.57894393041108,57.227899230236545,6.015815408086873,36.19003502417543,58.58616931777099,80.5828
SC,Senate,41.54334670940243,40.65795356367927,3.2672200854439417,10.674727086728318,41.489976553615115,6.3191
SC,Governor,41.54334670940243,46.351231617614566,3.1729815029806034,10.06781161825705,41.976282179068946,6.6921
SD,Senate,36.27385316539532,41.7702142926362,4.2055966642866505,17.687043302659003,36.60516547681443,3.0037
SD,Governor,36.27385316539532,36.27385316539532,4.141866928530247,17.155061653652577,36.27385316539532,2.4122
TN,Governor,37.90797873114066,37.90797873114066,3.001457601829326,9.00874773557905,37.90797873114066,1.9498
TX,Governor,45.20246579642519,46.43555157930933,3.960363916958271,15.68448235474506,46.29919772653915,29.2566
UT,Senate,34.639923473185355,46.73583009255888,5.436171942839272,29.55196539211291,44.294832475715914,26.8941
VT,Senate,56.15958883006096,65.59350054146374,4.383185468598688,19.212314852134696,62.418234787859205,95.7259
VT,Governor,56.15958883006096,34.46147894885005,5.54469587315926,30.743652325829338,41.90407856400684,17.683
WA,Senate,57.70660468078626,54.226533748899186,4.621484549626311,21.35811944243471,54.668907665692096,71.9673
WI,Senate,50.71159592685321,49.45392297504768,3.4642848742551986,12.001269689993356,49.57542592952691,47.4108
WI,Governor,50.71159592685321,50.39934039316682,3.5276572792324834,12.444365879721929,50.43192075592848,52.5984
WY,Governor,28.10805824406115,28.10805824406115,4.284669762877401,18.35839497691589,28.10805824406115,0.0709
