state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Governor,39.18917814407282,39.18917814407282,3.4435750397803706,11.85820905459838,39.18917814407282,3.9644
AL,Senate,39.18917814407282,39.18917814407282,3.4435750397803706,11.85820905459838,39.18917814407282,4.0827
AK,Senate,43.936222837553466,53.230105025434895,5.494769616676452,30.19249314035068,52.439929650057586,60.2768
AK,Governor,43.936222837553466,43.936222837553466,3.662409694796975,13.41324477254287,43.936222837553466,21.2418
AZ,Senate,40.80520701849273,52.44901424179768,4.844959042089772,23.473628119527444,51.48959562693518,57.2009
AZ,Governor,40.80520701849273,49.298392882377165,4.069880304129496,16.563925689941197,48.56560021769542,42.3743
AR,Senate,35.407095918038095,38.53795216522996,5.134547662801445,26.363579701579788,37.443078918198445,6.9665
AR,Governor,35.407095918038095,42.55121006804028,4.034434216657972,16.276659448540624,40.19073135932672,8.753
CA,Governor,62.95167673764267,62.503250761471584,4.416125234798213,19.50216208942157,62.59819467090402,95.8769
CA,Senate,62.95167673764267,62.95167673764267,3.1657890566840363,10.0222203514204,62.95167673764267,98.9685
CO,Senate,55.27679438111928,54.72842622565547,4.545030501771343,20.65730226203187,54.79118056727718,73.1876
CO,Governor,55.27679438111928,58.13780516634613,4.116391686117252,16.944680513535236,57.763878603170575,85.8639
CT,Senate,58.7536964166348,54.51106143899753,3.59938636849913,12.955582229737354,55.966314160302844,79.0983
CT,Governor,58.7536964166348,57.64337455892965,2.362697290330131,5.582338485733343,58.58919074411942,93.5785
FL,Senate,48.735334389926415,47.553848472396574,4.580663660417272,20.982479569867365,47.68378895244194,37.4032
FL,Governor,48.735334389926415,45.43480108085578,4.342106346307532,18.85388752264415,45.810274771444604,27.1201
GA,Senate,40.169129871489616,51.3449081828071,4.375365967322863,19.143827348007136,50.51039536145294,53.1221
GA,Governor,40.169129871489616,46.6311668253933,3.517497885912812,12.372791377401098,46.135630932360314,24.7748
HI,Governor,68.78891469922695,68.78891469922695,3.000499635207481,9.002998060880227,68.78891469922695,99.9939
HI,Senate,68.78891469922695,68.78891469922695,3.000499635207481,9.002998060880227,68.78891469922695,99.9953
ID,Governor,34.3434438967674,34.3434438967674,4.286929328014468,18.377763063390574,34.3434438967674,1.0722
ID,Senate,34.3434438967674,34.3434438967674,4.286929328014468,18.377763063390574,34.3434438967674,1.1012
IL,Senate,58.75066572010442,60.67319830088264,5.695315255803787,32.43661586299136,60.36607442931488,87.8469
IL,Governor,58.75066572010442,60.84380936079049,5.675368062891767,32.209802649291845,60.51348165686899,88.1908
IN,Senate,41.66029354735467,48.275862068965516,2.6172439738939755,6.849966018884329,41.86017816973757,10.016
IA,Senate,46.789017129119976,46.01065795622184,4.419802423676676,19.534653464338216,46.091126337041146,29.7591
IA,Governor,46.789017129119976,40.38381770440554,4.46274223186808,19.916068228098887,41.22441110630027,11.5786
KS,Senate,43.92764088086324,41.160742602400255,2.9742911521792568,8.846407857931812,43.76085644969553,11.2025
KS,Governor,43.92764088086324,52.87519663772351,3.0897056684974475,9.54628111794526,45.25331385301691,18.131
KY,Senate,37.675516993315874,41.48936170212766,3.2592512044821667,10.622718413918454,37.79074955525785,3.0207
LA,Senate,23.280050018298816,36.28225457597397,5.2286269123327225,27.338539388370023,31.82240977073868,1.0422
ME,Governor,49.03839513783617,56.09365474051018,4.330069138669917,18.74949874566164,53.88326464058683,71.0034
MD,Senate,61.13865406304275,43.02325581395348,3.2378098366697503,10.483412538435395,60.59131039537359,97.8005
MD,Governor,61.13865406304275,68.18181818181817,4.514665096829714,20.38220093653245,65.66960966674547,98.8272
MA,Governor,64.61776528167792,65.80041521337169,5.50928730190592,30.35224657494182,65.55248176234696,95.5845
MI,Governor,52.02436119996594,53.13549811137679,4.287119999806599,18.379397892741736,53.04686440087127,66.102
MN,Governor,54.628043248847625,52.46712654795309,4.543017893175204,20.639011577710072,52.74840373975227,63.9093
MO,Senate,42.8194623050795,43.467261519921216,4.903025220835709,24.039656316151056,43.24922527737163,22.0301
NE,Governor,37.036771859249576,46.06741573033708,4.4874313962992805,20.13704053649251,42.84629805553277,15.3816
NV,Senate,51.726010808188505,49.2419625685519,4.748506879130273,22.548317581147533,49.47848888359656,47.259
NV,Governor,51.726010808188505,48.47613133861064,4.705662452669474,22.143259118463284,48.84475995474666,43.8546
NH,Senate,49.94400542352568,53.0570596127368,4.081045494043988,16.654932324456745,52.70186588589406,64.5559
NH,Governor,49.94400542352568,41.20274061552252,4.417884003659658,19.517699069791888,42.33596620649043,15.4626
NM,Governor,56.70079244898564,55.10531414341222,4.908338628833801,24.09178809530208,55.3512396908846,74.1756
NY,Senate,64.86521627683923,59.02876620896451,4.335161594593624,18.793626051239528,59.702764359364274,91.3596
NY,Governor,64.86521627683923,53.56413434029158,4.433793693196602,19.65852651382996,54.53919247263322,73.3917
NC,Senate,50.00937783446791,48.5405263877226,4.584529456904192,21.017910341222244,48.6808869945422,43.3212
ND,Senate,29.16555947202734,29.16555947202734,4.537650234611419,20.590269651669068,29.16555947202734,0.2187
OH,Senate,46.75474528254238,48.88284651472493,4.740917244877421,22.47629632277612,48.7137081678012,43.7835
OH,Governor,46.75474528254238,39.397154618347905,4.601205302593064,21.171090236610524,39.98298656696417,10.1296
OK,Governor,34.52190848557967,48.39250691299349,5.277764119793141,27.854794104175863,46.278724445169,34.2382
OK,Senate,34.52190848557967,41.00460286570426,5.194032837922224,26.97797712141439,39.658734552069056,12.3816
OK2,Senate,34.52190848557967,43.03713813743031,4.889803245956379,23.910175784165546,41.269296388343804,15.6341
OR,Senate,57.61012691666312,58.330999459215285,4.517203477221124,20.40512725461862,58.215123978492606,86.249
OR,Governor,57.61012691666312,50.1741661978049,6.054753883773764,36.66004459307348,50.95553003200528,54.0437
PA,Senate,52.96754776885343,51.67789421957137,4.803828658717809,23.07676978231855,51.7882045586572,58.2797
PA,Governor,52.96754776885343,55.13068392233832,4.641957033977927,21.547765105297152,54.945206591290074,72.1756
RI,Governor,63.93664378453121,57.227899230236545,5.906293170756109,34.884299018920245,58.66266901744299,81.1051
