state,office,BPI,polls,variance,standard_deviation,number_of_polls,last_30_polls
Alabama,Governor,38.856911087573444,NA,9.268248926936314,3.0443798920200997,0,0
Alabama,Senate,38.856911087573444,NA,9.268248926936314,3.0443798920200997,0,0
Alaska,Senate,42.34414164928131,NA,13.713360520696302,3.7031554815719394,0,0
Alaska,Governor,42.34414164928131,NA,13.713360520696302,3.7031554815719394,0,0
Arizona,Senate,41.38652082164871,0.5301588576171923,7.469942969008157,2.733119640449016,5,3
Arizona,Governor,41.38652082164871,0.498754043404281,7.479536953350322,2.7348742116138216,3,3
Arkansas,Governor,36.5803502611594,0.32558139534883723,3.465219699653569,1.8615100589719007,1,0
Arkansas,Senate,36.5803502611594,NA,9.314422811839133,3.051953933439876,0,0
California,Governor,62.586872455790065,NA,9.114144982777661,3.018964223500779,0,0
California,Senate,62.586872455790065,NA,9.114144982777661,3.018964223500779,0,0
Colorado,Senate,54.268120302384304,0.5394676060986604,5.408704115329687,2.3256620810706115,6,3
Colorado,Governor,54.268120302384304,0.5328980583375272,3.349881147680338,1.8302680535048241,4,2
Connecticut,Governor,58.526242019500806,0.5574009378195114,2.584387531618056,1.6076030391915959,3,0
Connecticut,Senate,58.526242019500806,NA,9.572977345346912,3.0940228417623086,0,0
Florida,Senate,48.53526438955828,0.49187164828129554,9.98655812928638,3.1601515990987488,18,5
Florida,Governor,48.53526438955828,0.47155487475486674,10.814218620459659,3.2884979276958135,6,5
Georgia,Senate,41.97169174882852,0.5028762793380386,5.8918575162986535,2.427314877863738,15,2
Georgia,Governor,41.97169174882852,0.477502461739986,5.423475145527771,2.3288355771775238,13,3
Hawaii,Governor,69.17210294990738,NA,9.000343824864672,3.000057303596828,0,0
Hawaii,Senate,69.17210294990738,NA,9.000343824864672,3.000057303596828,0,0
Idaho,Governor,34.35676477964845,NA,11.279334774955814,3.3584720893519147,0,0
Idaho,Senate,34.35676477964845,NA,11.279334774955814,3.3584720893519147,0,0
Illinois,Senate,57.926424852004544,0.560880829015544,3.238275640805022,1.799520947587169,1,0
Illinois,Governor,57.926424852004544,0.5635027227557652,3.9054778435254,1.976228186097294,3,1
Indiana,Senate,42.42633551137972,0.4827586206896552,4.077494070903782,2.01928058251046,1,1
Iowa,Senate,45.49003365482535,0.45951112572088265,12.494868570353066,3.5348081377004137,9,0
Iowa,Governor,45.49003365482535,0.40937833254745387,13.543449126876887,3.680142541652006,4,0
Kansas,Governor,43.255565338511026,0.4777782909559082,6.644996988213849,2.577789166750037,3,0
Kansas,Senate,43.255565338511026,NA,9.977510180661126,3.158719705934847,0,0
Kentucky,Senate,38.46817941987608,0.4148936170212766,5.282795384752397,2.2984332456593988,1,0
Louisiana,Senate,20.825071691209317,NA,9.430475062130212,3.070907856339915,0,0
Maine,Governor,47.50684461591846,0.5217304907425252,5.066055884055853,2.250790057747691,4,0
Maryland,Senate,59.60060257679597,0.43023255813953487,6.526625642238924,2.5547261384028865,1,0
Maryland,Governor,59.60060257679597,NA,9.76673349059233,3.125177353462093,0,0
Massachusetts,Governor,63.42754700682979,NA,9.16985137914416,3.0281762463806756,0,0
Michigan,Governor,52.09968939110665,0.5567692141277366,7.478137071834208,2.7346182680283198,8,3
Minnesota,Governor,54.65445805866372,0.597821285997839,6.3652086121898375,2.5229365057785023,4,2
Missouri,Senate,43.48693780265842,0.439560439560448,7.4436376542066505,2.7283030722789303,2,1
Nebraska,Governor,37.204872788557424,NA,14.99692044355643,3.872585756772396,0,0
Nevada,Senate,50.11676011924624,0.5127085362883815,7.509194412978431,2.7402909358275136,10,2
Nevada,Governor,50.11676011924624,0.5034406715121397,7.558868179250867,2.74933958965619,7,2
New Hampshire,Senate,50.290426774892985,0.5505608179451924,5.037918852038887,2.24453087571521,5,0
New Hampshire,Governor,50.290426774892985,0.38463399503774065,4.030102748588584,2.0075115811841746,4,1
New Mexico,Governor,56.00332001977625,0.5364631716294843,6.304995203863949,2.5109749508634986,5,1
New York,Senate,65.32933917622134,0.6290087066566817,4.63360872093772,2.152581873225202,4,2
New York,Governor,65.32933917622134,0.5949825205442144,5.124312271786598,2.2636943856860623,6,3
North Carolina,Senate,49.56821954323046,0.4947093625349943,10.52835848450328,3.244743207790607,9,3
North Dakota,Senate,26.860147032799876,NA,13.989319473813985,3.7402298691141946,0,0
Ohio,Senate,45.37027389356207,0.49604748771676205,10.555153371510015,3.2488695528614278,6,3
Ohio,Governor,45.37027389356207,0.42982553201039425,11.441771091951992,3.3825687120813956,4,3
Oklahoma,Governor,32.93398111723862,0.4415281225078443,4.543556226327155,2.1315619217670303,6,0
Oklahoma,Senate 1,32.93398111723862,NA,11.378777197684007,3.373244313370143,0,0
Oklahoma,Senate 2,32.93398111723862,NA,11.378777197684007,3.373244313370143,0,0
Oregon,Governor,57.60816808687109,0.5022666107770415,11.008634378595266,3.3179262165689076,3,1
Oregon,Senate,57.60816808687109,NA,9.286034137802062,3.047299482788336,0,0
Pennsylvania,Senate,52.82642047516033,0.5497438755354237,7.991209640113887,2.8268727668775413,11,6
Pennsylvania,Governor,52.82642047516033,0.5414563417619895,7.998785077275059,2.8282123465671845,9,5
Rhode Island,Governor,63.57894393041108,NA,10.908768426363174,3.302842476771058,0,0
South Carolina,Senate,41.54334670940243,0.3048780487804878,10.258032249540745,3.202816299687003,1,0
South Carolina,Governor,41.54334670940243,0.45993101243699547,8.11534060770906,2.848743689367132,2,2
South Dakota,Senate,36.27385316539532,0.2891566265060241,8.457895604130037,2.908246138848986,1,0
South Dakota,Governor,36.27385316539532,NA,11.211288303200448,3.3483261942648967,0,0
Tennessee,Governor,37.90797873114066,NA,9.000553582138457,3.0000922622710218,0,0
Texas,Governor,45.20246579642519,0.46584446081934555,10.164860522427634,3.1882378396894473,17,3
Utah,Senate,34.639923473185355,0.4755005774357574,7.608165344595445,2.758290293749997,5,1
Vermont,Senate,56.159588830060954,0.6966292134830913,6.3047782872391505,2.510931756786542,2,0
Vermont,Governor,56.159588830060954,0.21052631578947367,5.598517156973544,2.3661185847234165,1,0
Washington,Senate,57.70660468078626,0.5292581923714987,4.179652699120657,2.044419893055401,10,2
Wisconsin,Senate,50.71159592685321,0.5153887302310247,6.478482640285712,2.545286357226965,4,2
Wisconsin,Governor,50.71159592685321,0.5049000818293778,7.1527123908581505,2.674455531665866,4,3
Wyoming,Governor,28.10805824406115,NA,9.696948566428542,3.113992383810298,0,0
